episode_idx,time_sec,dr_E_m,dr_N_m,gt_E_m,gt_N_m,drift_m
6,31,-176.50381,39.27714,181.66672,-110.58047,388.25693
6,32,-183.33952,41.57879,191.88123,-92.95941,398.61154
6,33,-190.25735,43.900894,202.33417,-74.40953,410.03107
6,34,-197.13057,46.083965,213.06114,-55.606,422.60867
6,35,-204.43753,47.922512,224.2081,-36.7464,436.9278
6,36,-212.16046,48.179226,235.53497,-17.815874,452.5335
6,37,-219.90742,46.26506,247.05815,1.3748537,469.1183
6,38,-226.65953,41.53652,258.4929,20.734035,485.5982
6,39,-231.15471,34.581177,269.98962,39.607304,501.16956
6,40,-234.31454,26.928585,281.38406,58.663185,516.67413
6,41,-237.32898,19.173122,292.9627,77.77974,533.5204
6,42,-240.42992,11.316711,304.3658,97.02113,551.4958
6,43,-243.85973,2.8398838,315.49588,114.992676,570.48834
6,44,-247.52925,-5.9017134,326.61258,134.25809,591.0022
6,45,-251.38864,-15.183768,337.62784,153.10947,612.58716
6,46,-255.16898,-24.575764,348.72827,171.77855,635.0172
6,47,-258.66376,-33.972687,359.50336,190.54541,657.67694
6,48,-262.14014,-43.84857,370.1033,209.28664,681.03534
6,49,-266.16013,-54.020393,381.03854,227.92102,705.9441
6,50,-270.8243,-64.83305,392.09726,246.69217,732.47046
6,51,-275.86853,-76.261,403.17673,265.8542,760.3587
6,52,-281.01956,-87.99469,414.2014,284.6272,788.7834
6,53,-286.02563,-99.09685,425.15967,303.30597,817.1368
6,54,-290.82745,-109.37074,436.06595,321.7515,845.12744
6,55,-295.43076,-119.023575,446.95346,339.7939,872.72437
6,56,-299.72308,-128.60286,457.56738,357.94125,900.1189
6,57,-302.74698,-139.0683,468.2683,376.26495,927.3796
6,58,-302.15613,-150.03978,478.95004,394.15878,951.9868
6,59,-297.81403,-160.09706,489.73364,412.12637,973.48395
6,60,-292.48392,-169.72351,500.60104,430.59003,994.66583
7,1,6.5622134,10.940367,9.072656,15.208797,4.9519515
7,2,13.092436,21.524189,19.287165,32.829853,12.891575
7,3,19.699408,32.29036,29.74011,51.37973,21.568954
7,4,26.214392,43.31123,40.467083,70.18326,30.417843
7,5,32.190838,54.9946,51.614044,89.04286,39.19879
7,6,35.612797,67.880745,62.940918,107.97339,48.520576
7,7,35.396584,81.47797,74.464096,127.164116,60.11235
7,8,30.187538,94.34767,85.89883,146.5233,76.32853
7,9,20.462646,104.36277,97.39556,165.39656,98.202835
7,10,9.070085,112.46032,108.790016,184.45245,122.99159
7,11,-2.526907,120.34412,120.36865,203.569,148.42406
7,12,-14.196738,128.36673,131.77177,222.8104,173.85744
7,13,-26.374357,136.89255,142.90181,240.78194,198.61375
7,14,-38.71596,145.7738,154.01851,260.04736,224.06477
7,15,-51.553932,154.94629,165.03378,278.89874,249.54848
7,16,-64.554,164.01292,176.13423,297.5678,275.2594
7,17,-77.70792,172.67596,186.90932,316.33466,301.09818
7,18,-91.38635,181.34329,197.50925,335.0759,327.25278
7,19,-105.11069,190.78717,208.44447,353.7103,353.35648
7,20,-119.21224,201.14638,219.50322,372.48145,379.5838
7,21,-133.79901,212.05246,230.58266,391.64346,406.23505
7,22,-148.66945,223.12416,241.60733,410.41647,432.89072
7,23,-162.925,233.96005,252.56561,429.0952,459.03177
7,24,-176.37395,244.47449,263.4719,447.54077,484.4587
7,25,-189.23685,254.69283,274.3594,465.58316,509.30954
